set_id,category,design_language_tag,persona_frame,age_band,legacy_skin_and_hair_direction,outfit_frame,scene_frame,action_frame,composition_frame,lens_group,lens_frame,shot_1_full_body_prompt,shot_2_half_body_prompt,shot_3_macro_prompt,combination_key
set-022-necklace,necklace,delicate V contour,fashion content creator,40s,"warm beige skin, black hair",downtown leather jacket look,city sidewalk outside a restaurant,mirror-based self capture,natural imperfect crop,normal,seated across-the-table shot,"Full-body candid framework. Product DNA: necklace; floral cluster diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: collarbone line; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: fashion content creator, 40s, warm beige skin, black hair. Outfit direction: downtown leather jacket look. Scene frame: city sidewalk outside a restaurant. Action frame: mirror-based self capture. Composition frame: natural imperfect crop. Lens frame: seated across-the-table shot. Low-AI feel: relaxed expression, natural posture, not overly retouched. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: necklace; floral cluster diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: collarbone line; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: fashion content creator, 40s, warm beige skin, black hair. Outfit direction: downtown leather jacket look. Scene frame: city sidewalk outside a restaurant. Action frame: mirror-based self capture. Composition frame: natural imperfect crop. Lens frame: seated across-the-table shot. Low-AI feel: relaxed expression, natural posture, not overly retouched. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: necklace; floral cluster diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: collarbone line; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; floral cluster diamonds; statement dinner scale; yellow gold; station setting; delicate V contour; wearing area: neck / collarbone; silhouette: collarbone line; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs|fashion content creator|40s|warm beige skin, black hair|downtown leather jacket look|city sidewalk outside a restaurant|mirror-based self capture|natural imperfect crop|seated across-the-table shot"
set-023-ring,ring,emerald-cut architecture,private-client jewelry buyer,40s,"fair skin, brunette hair",mature elegant evening look,private event arrival area,viewing art or display,soft foreground layering,normal,normal handheld camera angle,"Full-body candid framework. Product DNA: ring; emerald-cut; 6-8ct; platinum; six-prong solitaire; emerald-cut architecture; wearing area: finger; silhouette: bold statement profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: private-client jewelry buyer, 40s, fair skin, brunette hair. Outfit direction: mature elegant evening look. Scene frame: private event arrival area. Action frame: viewing art or display. Composition frame: soft foreground layering. Lens frame: normal handheld camera angle. Low-AI feel: casually wealthy, phone camera look, imperfect composition. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; emerald-cut; 6-8ct; platinum; six-prong solitaire; emerald-cut architecture; wearing area: finger; silhouette: bold statement profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: private-client jewelry buyer, 40s, fair skin, brunette hair. Outfit direction: mature elegant evening look. Scene frame: private event arrival area. Action frame: viewing art or display. Composition frame: soft foreground layering. Lens frame: normal handheld camera angle. Low-AI feel: casually wealthy, phone camera look, imperfect composition. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; emerald-cut; 6-8ct; platinum; six-prong solitaire; emerald-cut architecture; wearing area: finger; silhouette: bold statement profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; emerald-cut; 6-8ct; platinum; six-prong solitaire; emerald-cut architecture; wearing area: finger; silhouette: bold statement profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting|private-client jewelry buyer|40s|fair skin, brunette hair|mature elegant evening look|private event arrival area|viewing art or display|soft foreground layering|normal handheld camera angle"
set-024-earrings,earrings,clean geometric sparkle,American socialite,50s,"warm beige skin, auburn hair",mature elegant evening look,members club lounge,natural movement between spaces,table-level candid framing,normal,social media phone camera crop,"Full-body candid framework. Product DNA: earrings; round brilliant pairs; medium visible scale; yellow gold; cluster setting; clean geometric sparkle; wearing area: ears / earlobe; silhouette: floral cluster outline; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: American socialite, 50s, warm beige skin, auburn hair. Outfit direction: mature elegant evening look. Scene frame: members club lounge. Action frame: natural movement between spaces. Composition frame: table-level candid framing. Lens frame: social media phone camera crop. Low-AI feel: real skin texture, normal background clutter, relaxed expression. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: earrings; round brilliant pairs; medium visible scale; yellow gold; cluster setting; clean geometric sparkle; wearing area: ears / earlobe; silhouette: floral cluster outline; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: American socialite, 50s, warm beige skin, auburn hair. Outfit direction: mature elegant evening look. Scene frame: members club lounge. Action frame: natural movement between spaces. Composition frame: table-level candid framing. Lens frame: social media phone camera crop. Low-AI feel: real skin texture, normal background clutter, relaxed expression. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: earrings; round brilliant pairs; medium visible scale; yellow gold; cluster setting; clean geometric sparkle; wearing area: ears / earlobe; silhouette: floral cluster outline; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","earrings|earrings; round brilliant pairs; medium visible scale; yellow gold; cluster setting; clean geometric sparkle; wearing area: ears / earlobe; silhouette: floral cluster outline; texture: realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones|American socialite|50s|warm beige skin, auburn hair|mature elegant evening look|members club lounge|natural movement between spaces|table-level candid framing|social media phone camera crop"
set-025-ring,ring,pear-shaped elegance,stylish rich mom,30s,"tan skin, honey blonde hair",travel lounge cashmere set,private dinner setting,arriving or leaving,subject not always looking at camera,normal,ordinary compact-camera perspective,"Full-body candid framework. Product DNA: ring; princess-cut; 5-6ct; rose gold; knife-edge band; pear-shaped elegance; wearing area: finger; silhouette: soft romantic profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 30s, tan skin, honey blonde hair. Outfit direction: travel lounge cashmere set. Scene frame: private dinner setting. Action frame: arriving or leaving. Composition frame: subject not always looking at camera. Lens frame: ordinary compact-camera perspective. Low-AI feel: natural posture, not overly retouched, casually wealthy. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; princess-cut; 5-6ct; rose gold; knife-edge band; pear-shaped elegance; wearing area: finger; silhouette: soft romantic profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 30s, tan skin, honey blonde hair. Outfit direction: travel lounge cashmere set. Scene frame: private dinner setting. Action frame: arriving or leaving. Composition frame: subject not always looking at camera. Lens frame: ordinary compact-camera perspective. Low-AI feel: natural posture, not overly retouched, casually wealthy. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; princess-cut; 5-6ct; rose gold; knife-edge band; pear-shaped elegance; wearing area: finger; silhouette: soft romantic profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; princess-cut; 5-6ct; rose gold; knife-edge band; pear-shaped elegance; wearing area: finger; silhouette: soft romantic profile; texture: natural refraction, true metal reflection, physically plausible setting, clear individual stones|stylish rich mom|30s|tan skin, honey blonde hair|travel lounge cashmere set|private dinner setting|arriving or leaving|subject not always looking at camera|ordinary compact-camera perspective"
set-026-bracelet,bracelet,slim tennis line,Pilates lifestyle creator,young adult,"tan skin, dark ponytail",Pilates outfit with refined layers,Pilates studio or wellness club,stepping into light,product visible but not centered,mild,hand-entering-frame crop,"Full-body candid framework. Product DNA: bracelet; pave-set stones; delicate wrist scale; platinum; diamond bangle; slim tennis line; wearing area: wrist; silhouette: fine line around wrist; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: Pilates lifestyle creator, young adult, tan skin, dark ponytail. Outfit direction: Pilates outfit with refined layers. Scene frame: Pilates studio or wellness club. Action frame: stepping into light. Composition frame: product visible but not centered. Lens frame: hand-entering-frame crop. Low-AI feel: phone camera look, imperfect composition, real skin texture. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: bracelet; pave-set stones; delicate wrist scale; platinum; diamond bangle; slim tennis line; wearing area: wrist; silhouette: fine line around wrist; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: Pilates lifestyle creator, young adult, tan skin, dark ponytail. Outfit direction: Pilates outfit with refined layers. Scene frame: Pilates studio or wellness club. Action frame: stepping into light. Composition frame: product visible but not centered. Lens frame: hand-entering-frame crop. Low-AI feel: phone camera look, imperfect composition, real skin texture. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: bracelet; pave-set stones; delicate wrist scale; platinum; diamond bangle; slim tennis line; wearing area: wrist; silhouette: fine line around wrist; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","bracelet|bracelet; pave-set stones; delicate wrist scale; platinum; diamond bangle; slim tennis line; wearing area: wrist; silhouette: fine line around wrist; texture: controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets|Pilates lifestyle creator|young adult|tan skin, dark ponytail|Pilates outfit with refined layers|Pilates studio or wellness club|stepping into light|product visible but not centered|hand-entering-frame crop"
set-027-ring,ring,cushion-cut softness,lifestyle KOL,young adult,"olive skin, silver gray hair",luxury athleisure,Pilates studio or wellness club,subtle body turn,subtle negative space,normal,standing-height phone photo,"Full-body candid framework. Product DNA: ring; emerald-cut; 4-5ct; yellow gold; tapered side stones; cushion-cut softness; wearing area: finger; silhouette: architectural center profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: lifestyle KOL, young adult, olive skin, silver gray hair. Outfit direction: luxury athleisure. Scene frame: Pilates studio or wellness club. Action frame: subtle body turn. Composition frame: subtle negative space. Lens frame: standing-height phone photo. Low-AI feel: normal background clutter, relaxed expression, natural posture. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; emerald-cut; 4-5ct; yellow gold; tapered side stones; cushion-cut softness; wearing area: finger; silhouette: architectural center profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: lifestyle KOL, young adult, olive skin, silver gray hair. Outfit direction: luxury athleisure. Scene frame: Pilates studio or wellness club. Action frame: subtle body turn. Composition frame: subtle negative space. Lens frame: standing-height phone photo. Low-AI feel: normal background clutter, relaxed expression, natural posture. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; emerald-cut; 4-5ct; yellow gold; tapered side stones; cushion-cut softness; wearing area: finger; silhouette: architectural center profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; emerald-cut; 4-5ct; yellow gold; tapered side stones; cushion-cut softness; wearing area: finger; silhouette: architectural center profile; texture: true metal reflection, physically plausible setting, clear individual stones, natural refraction|lifestyle KOL|young adult|olive skin, silver gray hair|luxury athleisure|Pilates studio or wellness club|subtle body turn|subtle negative space|standing-height phone photo"
set-028-necklace,necklace,solitaire pendant,wedding guest with money,30s,"medium skin, loose waves",soft feminine satin look,bridal shower setting,walking through doorway,doorway or entrance frame,normal,friend-taken eye-level shot,"Full-body candid framework. Product DNA: necklace; delicate line diamonds; statement dinner scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: fine layered chain; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wedding guest with money, 30s, medium skin, loose waves. Outfit direction: soft feminine satin look. Scene frame: bridal shower setting. Action frame: walking through doorway. Composition frame: doorway or entrance frame. Lens frame: friend-taken eye-level shot. Low-AI feel: not overly retouched, casually wealthy, phone camera look. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: necklace; delicate line diamonds; statement dinner scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: fine layered chain; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: wedding guest with money, 30s, medium skin, loose waves. Outfit direction: soft feminine satin look. Scene frame: bridal shower setting. Action frame: walking through doorway. Composition frame: doorway or entrance frame. Lens frame: friend-taken eye-level shot. Low-AI feel: not overly retouched, casually wealthy, phone camera look. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: necklace; delicate line diamonds; statement dinner scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: fine layered chain; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; delicate line diamonds; statement dinner scale; white gold; delicate V contour; solitaire pendant; wearing area: neck / collarbone; silhouette: fine layered chain; texture: clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle|wedding guest with money|30s|medium skin, loose waves|soft feminine satin look|bridal shower setting|walking through doorway|doorway or entrance frame|friend-taken eye-level shot"
set-029-ring,ring,platinum high-jewelry setting,affluent influencer,young adult,"medium skin, loose waves",street-style denim with luxury coat,car back seat selfie environment,looking away from camera,car-interior constrained framing,normal,normal 35mm perspective,"Full-body candid framework. Product DNA: ring; princess-cut; 3-4ct; white gold; bezel detail; platinum high-jewelry setting; wearing area: finger; silhouette: elongated elegant profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: affluent influencer, young adult, medium skin, loose waves. Outfit direction: street-style denim with luxury coat. Scene frame: car back seat selfie environment. Action frame: looking away from camera. Composition frame: car-interior constrained framing. Lens frame: normal 35mm perspective. Low-AI feel: imperfect composition, real skin texture, normal background clutter. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; princess-cut; 3-4ct; white gold; bezel detail; platinum high-jewelry setting; wearing area: finger; silhouette: elongated elegant profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: affluent influencer, young adult, medium skin, loose waves. Outfit direction: street-style denim with luxury coat. Scene frame: car back seat selfie environment. Action frame: looking away from camera. Composition frame: car-interior constrained framing. Lens frame: normal 35mm perspective. Low-AI feel: imperfect composition, real skin texture, normal background clutter. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; princess-cut; 3-4ct; white gold; bezel detail; platinum high-jewelry setting; wearing area: finger; silhouette: elongated elegant profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; princess-cut; 3-4ct; white gold; bezel detail; platinum high-jewelry setting; wearing area: finger; silhouette: elongated elegant profile; texture: physically plausible setting, clear individual stones, natural refraction, true metal reflection|affluent influencer|young adult|medium skin, loose waves|street-style denim with luxury coat|car back seat selfie environment|looking away from camera|car-interior constrained framing|normal 35mm perspective"
set-030-ring,ring,platinum high-jewelry setting,mature luxury shopper,elegant older woman,"dark espresso skin, sleek short hair",minimal monochrome outfit,airport lounge,bag or sleeve adjustment,friend-taken framing,normal,50mm shallow depth of field,"Full-body candid framework. Product DNA: ring; cushion-cut; 6-8ct; rose gold; cathedral profile; platinum high-jewelry setting; wearing area: finger; silhouette: bold statement profile; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: mature luxury shopper, elegant older woman, dark espresso skin, sleek short hair. Outfit direction: minimal monochrome outfit. Scene frame: airport lounge. Action frame: bag or sleeve adjustment. Composition frame: friend-taken framing. Lens frame: 50mm shallow depth of field. Low-AI feel: relaxed expression, natural posture, not overly retouched. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; cushion-cut; 6-8ct; rose gold; cathedral profile; platinum high-jewelry setting; wearing area: finger; silhouette: bold statement profile; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: mature luxury shopper, elegant older woman, dark espresso skin, sleek short hair. Outfit direction: minimal monochrome outfit. Scene frame: airport lounge. Action frame: bag or sleeve adjustment. Composition frame: friend-taken framing. Lens frame: 50mm shallow depth of field. Low-AI feel: relaxed expression, natural posture, not overly retouched. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; cushion-cut; 6-8ct; rose gold; cathedral profile; platinum high-jewelry setting; wearing area: finger; silhouette: bold statement profile; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; cushion-cut; 6-8ct; rose gold; cathedral profile; platinum high-jewelry setting; wearing area: finger; silhouette: bold statement profile; texture: not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs|mature luxury shopper|elegant older woman|dark espresso skin, sleek short hair|minimal monochrome outfit|airport lounge|bag or sleeve adjustment|friend-taken framing|50mm shallow depth of field"
set-031-ring,ring,platinum high-jewelry setting,luxury travel shopper,40s,"warm tan skin, copper hair",rich mom casual layers,luxury car interior / private transit,casual phone/selfie behavior,hand naturally enters frame,normal,85mm half-body portrait,"Full-body candid framework. Product DNA: ring; round brilliant; 4-5ct; white gold; hidden halo; platinum high-jewelry setting; wearing area: finger; silhouette: architectural center profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: luxury travel shopper, 40s, warm tan skin, copper hair. Outfit direction: rich mom casual layers. Scene frame: luxury car interior / private transit. Action frame: casual phone/selfie behavior. Composition frame: hand naturally enters frame. Lens frame: 85mm half-body portrait. Low-AI feel: casually wealthy, phone camera look, imperfect composition. The image prioritizes outfit, body line, and real environment; product appears naturally and is not centered as an ad. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory framework. Product DNA: ring; round brilliant; 4-5ct; white gold; hidden halo; platinum high-jewelry setting; wearing area: finger; silhouette: architectural center profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: luxury travel shopper, 40s, warm tan skin, copper hair. Outfit direction: rich mom casual layers. Scene frame: luxury car interior / private transit. Action frame: casual phone/selfie behavior. Composition frame: hand naturally enters frame. Lens frame: 85mm half-body portrait. Low-AI feel: casually wealthy, phone camera look, imperfect composition. The product is clearer than the full-body image, but the gesture stays natural, social, and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Product DNA: ring; round brilliant; 4-5ct; white gold; hidden halo; platinum high-jewelry setting; wearing area: finger; silhouette: architectural center profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting. Scene/material context should match the set direction without needing the same person or location. The product is the hero with realistic diamond structure, metal reflection, and physically plausible wearing area; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; round brilliant; 4-5ct; white gold; hidden halo; platinum high-jewelry setting; wearing area: finger; silhouette: architectural center profile; texture: clear individual stones, natural refraction, true metal reflection, physically plausible setting|luxury travel shopper|40s|warm tan skin, copper hair|rich mom casual layers|luxury car interior / private transit|casual phone/selfie behavior|hand naturally enters frame|85mm half-body portrait"
