set_id,category,design_language_tag,persona_frame,age_band,legacy_skin_and_hair_direction,outfit_frame,scene_frame,action_frame,composition_frame,lens_group,lens_frame,shot_1_full_body_prompt,shot_2_half_body_prompt,shot_3_macro_prompt,combination_key
set-023-ring,ring,emerald-cut architecture,lifestyle KOL,60s,"light olive skin, dark blonde hair",gothic-luxury accent,city sidewalk outside a restaurant,gallery viewing posture,street-style vertical crop,normal,normal handheld camera angle,"Full-body candid image framework. Product DNA: ring; emerald-cut; 6-8ct; platinum; six-prong solitaire; emerald-cut architecture; finger; bold statement profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: lifestyle KOL, 60s, light olive skin, dark blonde hair. Outfit direction: gothic-luxury accent. Scene frame: city sidewalk outside a restaurant. Action frame: gallery viewing posture. Composition: street-style vertical crop. Lens: normal handheld camera angle. Low-AI feel: casually wealthy, phone camera look, imperfect composition. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; emerald-cut; 6-8ct; platinum; six-prong solitaire; emerald-cut architecture; finger; bold statement profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: lifestyle KOL, 60s, light olive skin, dark blonde hair. Outfit direction: gothic-luxury accent. Scene frame: city sidewalk outside a restaurant. Action frame: gallery viewing posture. Composition: street-style vertical crop. Lens: normal handheld camera angle. Low-AI feel: casually wealthy, phone camera look, imperfect composition. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; emerald-cut; 6-8ct; platinum; six-prong solitaire; emerald-cut architecture; finger; bold statement profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting|lifestyle KOL|60s|light olive skin, dark blonde hair|gothic-luxury accent|city sidewalk outside a restaurant|gallery viewing posture|street-style vertical crop|normal handheld camera angle"
set-024-earrings,earrings,clean geometric sparkle,wedding guest with money,young adult,"warm tan skin, copper hair",quiet luxury tailoring,luxury car interior / private transit,natural walking transition,social media crop,normal,social media phone camera crop,"Full-body candid image framework. Product DNA: earrings; round brilliant pairs; medium visible scale; yellow gold; cluster setting; clean geometric sparkle; ears / earlobe; floral cluster outline; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: wedding guest with money, young adult, warm tan skin, copper hair. Outfit direction: quiet luxury tailoring. Scene frame: luxury car interior / private transit. Action frame: natural walking transition. Composition: social media crop. Lens: social media phone camera crop. Low-AI feel: real skin texture, normal background clutter, relaxed expression. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: earrings; round brilliant pairs; medium visible scale; yellow gold; cluster setting; clean geometric sparkle; ears / earlobe; floral cluster outline; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: wedding guest with money, young adult, warm tan skin, copper hair. Outfit direction: quiet luxury tailoring. Scene frame: luxury car interior / private transit. Action frame: natural walking transition. Composition: social media crop. Lens: social media phone camera crop. Low-AI feel: real skin texture, normal background clutter, relaxed expression. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","earrings|earrings; round brilliant pairs; medium visible scale; yellow gold; cluster setting; clean geometric sparkle; ears / earlobe; floral cluster outline; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones|wedding guest with money|young adult|warm tan skin, copper hair|quiet luxury tailoring|luxury car interior / private transit|natural walking transition|social media crop|social media phone camera crop"
set-025-ring,ring,pear-shaped elegance,young high-income trendsetter,40s,"warm beige skin, short curls",Pilates outfit with refined layers,townhouse entrance,entering or exiting place,half-body natural crop,normal,ordinary compact-camera perspective,"Full-body candid image framework. Product DNA: ring; princess-cut; 5-6ct; rose gold; knife-edge band; pear-shaped elegance; finger; soft romantic profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: young high-income trendsetter, 40s, warm beige skin, short curls. Outfit direction: Pilates outfit with refined layers. Scene frame: townhouse entrance. Action frame: entering or exiting place. Composition: half-body natural crop. Lens: ordinary compact-camera perspective. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; princess-cut; 5-6ct; rose gold; knife-edge band; pear-shaped elegance; finger; soft romantic profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: young high-income trendsetter, 40s, warm beige skin, short curls. Outfit direction: Pilates outfit with refined layers. Scene frame: townhouse entrance. Action frame: entering or exiting place. Composition: half-body natural crop. Lens: ordinary compact-camera perspective. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; princess-cut; 5-6ct; rose gold; knife-edge band; pear-shaped elegance; finger; soft romantic profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones|young high-income trendsetter|40s|warm beige skin, short curls|Pilates outfit with refined layers|townhouse entrance|entering or exiting place|half-body natural crop|ordinary compact-camera perspective"
set-026-bracelet,bracelet,slim tennis line,fashion content creator,elegant older woman,"fair skin, auburn hair",mature elegant evening look,members club lounge,walking through doorway,layered foreground object,mild,hand-entering-frame crop,"Full-body candid image framework. Product DNA: bracelet; pave-set stones; delicate wrist scale; platinum; diamond bangle; slim tennis line; wrist; fine line around wrist; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: fashion content creator, elegant older woman, fair skin, auburn hair. Outfit direction: mature elegant evening look. Scene frame: members club lounge. Action frame: walking through doorway. Composition: layered foreground object. Lens: hand-entering-frame crop. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: bracelet; pave-set stones; delicate wrist scale; platinum; diamond bangle; slim tennis line; wrist; fine line around wrist; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: fashion content creator, elegant older woman, fair skin, auburn hair. Outfit direction: mature elegant evening look. Scene frame: members club lounge. Action frame: walking through doorway. Composition: layered foreground object. Lens: hand-entering-frame crop. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","bracelet|bracelet; pave-set stones; delicate wrist scale; platinum; diamond bangle; slim tennis line; wrist; fine line around wrist; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets|fashion content creator|elegant older woman|fair skin, auburn hair|mature elegant evening look|members club lounge|walking through doorway|layered foreground object|hand-entering-frame crop"
set-027-ring,ring,cushion-cut softness,private-client jewelry buyer,late 20s,"fair skin, platinum blonde hair",art gallery neutral outfit,bridal shower setting,body slightly turns,table-level candid crop,normal,standing-height phone photo,"Full-body candid image framework. Product DNA: ring; emerald-cut; 4-5ct; yellow gold; tapered side stones; cushion-cut softness; finger; architectural center profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: private-client jewelry buyer, late 20s, fair skin, platinum blonde hair. Outfit direction: art gallery neutral outfit. Scene frame: bridal shower setting. Action frame: body slightly turns. Composition: table-level candid crop. Lens: standing-height phone photo. Low-AI feel: normal background clutter, relaxed expression, natural posture. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; emerald-cut; 4-5ct; yellow gold; tapered side stones; cushion-cut softness; finger; architectural center profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction. Persona direction: private-client jewelry buyer, late 20s, fair skin, platinum blonde hair. Outfit direction: art gallery neutral outfit. Scene frame: bridal shower setting. Action frame: body slightly turns. Composition: table-level candid crop. Lens: standing-height phone photo. Low-AI feel: normal background clutter, relaxed expression, natural posture. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; emerald-cut; 4-5ct; yellow gold; tapered side stones; cushion-cut softness; finger; architectural center profile; true metal reflection, physically plausible setting, clear individual stones, natural refraction|private-client jewelry buyer|late 20s|fair skin, platinum blonde hair|art gallery neutral outfit|bridal shower setting|body slightly turns|table-level candid crop|standing-height phone photo"
set-028-necklace,necklace,solitaire pendant,Pilates lifestyle creator,50s,"deep brown skin, natural curls",minimal monochrome outfit,upscale cafe street-side,stepping into light,real background clutter remains,normal,friend-taken eye-level shot,"Full-body candid image framework. Product DNA: necklace; delicate line diamonds; statement dinner scale; white gold; delicate V contour; solitaire pendant; neck / collarbone; fine layered chain; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: Pilates lifestyle creator, 50s, deep brown skin, natural curls. Outfit direction: minimal monochrome outfit. Scene frame: upscale cafe street-side. Action frame: stepping into light. Composition: real background clutter remains. Lens: friend-taken eye-level shot. Low-AI feel: not overly retouched, casually wealthy, phone camera look. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: necklace; delicate line diamonds; statement dinner scale; white gold; delicate V contour; solitaire pendant; neck / collarbone; fine layered chain; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle. Persona direction: Pilates lifestyle creator, 50s, deep brown skin, natural curls. Outfit direction: minimal monochrome outfit. Scene frame: upscale cafe street-side. Action frame: stepping into light. Composition: real background clutter remains. Lens: friend-taken eye-level shot. Low-AI feel: not overly retouched, casually wealthy, phone camera look. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; delicate line diamonds; statement dinner scale; white gold; delicate V contour; solitaire pendant; neck / collarbone; fine layered chain; clean prongs, not overexposed stones, realistic diamond facets, controlled sparkle|Pilates lifestyle creator|50s|deep brown skin, natural curls|minimal monochrome outfit|upscale cafe street-side|stepping into light|real background clutter remains|friend-taken eye-level shot"
set-029-ring,ring,platinum high-jewelry setting,affluent influencer,mature adult,"medium skin, loose waves",high-end minimalist dress,yoga studio with luxury lifestyle feel,looking away naturally,doorway or entrance frame,normal,normal 35mm perspective,"Full-body candid image framework. Product DNA: ring; princess-cut; 3-4ct; white gold; bezel detail; platinum high-jewelry setting; finger; elongated elegant profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: affluent influencer, mature adult, medium skin, loose waves. Outfit direction: high-end minimalist dress. Scene frame: yoga studio with luxury lifestyle feel. Action frame: looking away naturally. Composition: doorway or entrance frame. Lens: normal 35mm perspective. Low-AI feel: imperfect composition, real skin texture, normal background clutter. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; princess-cut; 3-4ct; white gold; bezel detail; platinum high-jewelry setting; finger; elongated elegant profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection. Persona direction: affluent influencer, mature adult, medium skin, loose waves. Outfit direction: high-end minimalist dress. Scene frame: yoga studio with luxury lifestyle feel. Action frame: looking away naturally. Composition: doorway or entrance frame. Lens: normal 35mm perspective. Low-AI feel: imperfect composition, real skin texture, normal background clutter. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; princess-cut; 3-4ct; white gold; bezel detail; platinum high-jewelry setting; finger; elongated elegant profile; physically plausible setting, clear individual stones, natural refraction, true metal reflection|affluent influencer|mature adult|medium skin, loose waves|high-end minimalist dress|yoga studio with luxury lifestyle feel|looking away naturally|doorway or entrance frame|normal 35mm perspective"
set-030-ring,ring,platinum high-jewelry setting,mature luxury shopper,30s,"warm beige skin, black hair",yoga set with expensive coat,museum gala or collector preview,adjusting bag or sleeve,negative space from real setting,normal,50mm shallow depth of field,"Full-body candid image framework. Product DNA: ring; cushion-cut; 6-8ct; rose gold; cathedral profile; platinum high-jewelry setting; finger; bold statement profile; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: mature luxury shopper, 30s, warm beige skin, black hair. Outfit direction: yoga set with expensive coat. Scene frame: museum gala or collector preview. Action frame: adjusting bag or sleeve. Composition: negative space from real setting. Lens: 50mm shallow depth of field. Low-AI feel: relaxed expression, natural posture, not overly retouched. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; cushion-cut; 6-8ct; rose gold; cathedral profile; platinum high-jewelry setting; finger; bold statement profile; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs. Persona direction: mature luxury shopper, 30s, warm beige skin, black hair. Outfit direction: yoga set with expensive coat. Scene frame: museum gala or collector preview. Action frame: adjusting bag or sleeve. Composition: negative space from real setting. Lens: 50mm shallow depth of field. Low-AI feel: relaxed expression, natural posture, not overly retouched. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; cushion-cut; 6-8ct; rose gold; cathedral profile; platinum high-jewelry setting; finger; bold statement profile; not overexposed stones, realistic diamond facets, controlled sparkle, clean prongs|mature luxury shopper|30s|warm beige skin, black hair|yoga set with expensive coat|museum gala or collector preview|adjusting bag or sleeve|negative space from real setting|50mm shallow depth of field"
set-031-ring,ring,platinum high-jewelry setting,beauty or fashion KOL,60s,"deep brown skin, long straight hair",private dinner outfit,high-end hotel lobby or corridor,photo-taking or selfie frame,friend-taken framing,normal,85mm half-body portrait,"Full-body candid image framework. Product DNA: ring; round brilliant; 4-5ct; white gold; hidden halo; platinum high-jewelry setting; finger; architectural center profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: beauty or fashion KOL, 60s, deep brown skin, long straight hair. Outfit direction: private dinner outfit. Scene frame: high-end hotel lobby or corridor. Action frame: photo-taking or selfie frame. Composition: friend-taken framing. Lens: 85mm half-body portrait. Low-AI feel: casually wealthy, phone camera look, imperfect composition. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; round brilliant; 4-5ct; white gold; hidden halo; platinum high-jewelry setting; finger; architectural center profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting. Persona direction: beauty or fashion KOL, 60s, deep brown skin, long straight hair. Outfit direction: private dinner outfit. Scene frame: high-end hotel lobby or corridor. Action frame: photo-taking or selfie frame. Composition: friend-taken framing. Lens: 85mm half-body portrait. Low-AI feel: casually wealthy, phone camera look, imperfect composition. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; round brilliant; 4-5ct; white gold; hidden halo; platinum high-jewelry setting; finger; architectural center profile; clear individual stones, natural refraction, true metal reflection, physically plausible setting|beauty or fashion KOL|60s|deep brown skin, long straight hair|private dinner outfit|high-end hotel lobby or corridor|photo-taking or selfie frame|friend-taken framing|85mm half-body portrait"
set-032-necklace,necklace,delicate V contour,American socialite,young adult,"fair skin, brunette hair",wedding guest outfit,wine bar social setting,casual laughing moment,product not centered but visible,mild,slight high angle,"Full-body candid image framework. Product DNA: necklace; graduated round brilliant stones; fine everyday scale; yellow gold; station setting; delicate V contour; neck / collarbone; short tennis necklace line; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: American socialite, young adult, fair skin, brunette hair. Outfit direction: wedding guest outfit. Scene frame: wine bar social setting. Action frame: casual laughing moment. Composition: product not centered but visible. Lens: slight high angle. Low-AI feel: real skin texture, normal background clutter, relaxed expression. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: necklace; graduated round brilliant stones; fine everyday scale; yellow gold; station setting; delicate V contour; neck / collarbone; short tennis necklace line; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones. Persona direction: American socialite, young adult, fair skin, brunette hair. Outfit direction: wedding guest outfit. Scene frame: wine bar social setting. Action frame: casual laughing moment. Composition: product not centered but visible. Lens: slight high angle. Low-AI feel: real skin texture, normal background clutter, relaxed expression. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","necklace|necklace; graduated round brilliant stones; fine everyday scale; yellow gold; station setting; delicate V contour; neck / collarbone; short tennis necklace line; realistic diamond facets, controlled sparkle, clean prongs, not overexposed stones|American socialite|young adult|fair skin, brunette hair|wedding guest outfit|wine bar social setting|casual laughing moment|product not centered but visible|slight high angle"
set-033-ring,ring,three-stone balance,stylish rich mom,40s,"olive skin, silver gray hair",travel lounge cashmere set,hotel elevator mirror area,vehicle transition,natural imperfect crop,normal,mirror selfie perspective,"Full-body candid image framework. Product DNA: ring; oval-cut; 3-4ct; platinum; six-prong solitaire; three-stone balance; finger; elongated elegant profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 40s, olive skin, silver gray hair. Outfit direction: travel lounge cashmere set. Scene frame: hotel elevator mirror area. Action frame: vehicle transition. Composition: natural imperfect crop. Lens: mirror selfie perspective. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: ring; oval-cut; 3-4ct; platinum; six-prong solitaire; three-stone balance; finger; elongated elegant profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones. Persona direction: stylish rich mom, 40s, olive skin, silver gray hair. Outfit direction: travel lounge cashmere set. Scene frame: hotel elevator mirror area. Action frame: vehicle transition. Composition: natural imperfect crop. Lens: mirror selfie perspective. Low-AI feel: natural posture, not overly retouched, casually wealthy. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","ring|ring; oval-cut; 3-4ct; platinum; six-prong solitaire; three-stone balance; finger; elongated elegant profile; natural refraction, true metal reflection, physically plausible setting, clear individual stones|stylish rich mom|40s|olive skin, silver gray hair|travel lounge cashmere set|hotel elevator mirror area|vehicle transition|natural imperfect crop|mirror selfie perspective"
set-034-earrings,earrings,classic diamond studs,downtown cool girl with high-end taste,elegant older woman,"tan skin, dark ponytail",old-money knitwear,quiet office-to-dinner transition,travel lounge pause,car-interior constrained crop,special,strong top-down shot,"Full-body candid image framework. Product DNA: earrings; floral cluster stones; medium visible scale; white gold; cluster setting; classic diamond studs; ears / earlobe; small round sparkle; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: downtown cool girl with high-end taste, elegant older woman, tan skin, dark ponytail. Outfit direction: old-money knitwear. Scene frame: quiet office-to-dinner transition. Action frame: travel lounge pause. Composition: car-interior constrained crop. Lens: strong top-down shot. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product appears naturally, not centered as an ad. Keep it like a real high-income American social photo. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Half-body accessory image framework. Same Product DNA. Product DNA: earrings; floral cluster stones; medium visible scale; white gold; cluster setting; classic diamond studs; ears / earlobe; small round sparkle; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets. Persona direction: downtown cool girl with high-end taste, elegant older woman, tan skin, dark ponytail. Outfit direction: old-money knitwear. Scene frame: quiet office-to-dinner transition. Action frame: travel lounge pause. Composition: car-interior constrained crop. Lens: strong top-down shot. Low-AI feel: phone camera look, imperfect composition, real skin texture. Product is clearer than full-body, but the gesture stays natural and not hard-selling. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","Product close-up framework. Same Product DNA. Product is the hero with realistic diamond structure and metal reflections; keep real skin or fabric context and avoid CGI packshot style. Avoid: no brand logo, no text, no watermark, no exact brand copy, no hyper-smooth skin, no CGI look, no plastic diamond, no glass toy effect, no overexposed stones, no distorted fingers, no hard-sell product pose.","earrings|earrings; floral cluster stones; medium visible scale; white gold; cluster setting; classic diamond studs; ears / earlobe; small round sparkle; controlled sparkle, clean prongs, not overexposed stones, realistic diamond facets|downtown cool girl with high-end taste|elegant older woman|tan skin, dark ponytail|old-money knitwear|quiet office-to-dinner transition|travel lounge pause|car-interior constrained crop|strong top-down shot"
